image_name,model_name,dice_score
cropped_magrabi_female_image5prime,binrushed_persite,0.8374656438827515
cropped_magrabi_male_image10prime,binrushed_persite,0.8735087513923645
cropped_magrabi_male_image15prime,binrushed_persite,0.6660791039466858
cropped_magrabi_female_image11prime,binrushed_persite,0.904146134853363
cropped_magrabi_female_image44prime,binrushed_persite,0.9156978726387024
cropped_magrabi_male_image24prime,binrushed_persite,0.9329421520233154
cropped_magrabi_male_image40prime,binrushed_persite,0.9626058340072632
cropped_magrabi_male_image37prime,binrushed_persite,0.8021832704544067
cropped_magrabi_female_image36prime,binrushed_persite,0.9262146949768066
cropped_magrabi_male_image33prime,binrushed_persite,0.7006402611732483
cropped_magrabi_female_image5prime,pipeline1,0.8600947856903076
cropped_magrabi_male_image10prime,pipeline1,0.953893780708313
cropped_magrabi_male_image15prime,pipeline1,0.8052180409431458
cropped_magrabi_female_image11prime,pipeline1,0.9596264362335204
cropped_magrabi_female_image44prime,pipeline1,0.9790387749671936
cropped_magrabi_male_image24prime,pipeline1,0.9456899762153624
cropped_magrabi_male_image40prime,pipeline1,0.973410189151764
cropped_magrabi_male_image37prime,pipeline1,0.9570884704589844
cropped_magrabi_female_image36prime,pipeline1,0.9245634078979492
cropped_magrabi_male_image33prime,pipeline1,0.9223511815071106
cropped_magrabi_female_image5prime,chaksu_persite,0.8148700594902039
cropped_magrabi_male_image10prime,chaksu_persite,0.8949074745178223
cropped_magrabi_male_image15prime,chaksu_persite,0.6988213658332825
cropped_magrabi_female_image11prime,chaksu_persite,0.9293333888053894
cropped_magrabi_female_image44prime,chaksu_persite,0.9707712531089784
cropped_magrabi_male_image24prime,chaksu_persite,0.8431935906410217
cropped_magrabi_male_image40prime,chaksu_persite,0.9426501393318176
cropped_magrabi_male_image37prime,chaksu_persite,0.9301456212997437
cropped_magrabi_female_image36prime,chaksu_persite,0.8775366544723511
cropped_magrabi_male_image33prime,chaksu_persite,0.84360671043396
cropped_magrabi_female_image5prime,pipeline2,0.8509485125541687
cropped_magrabi_male_image10prime,pipeline2,0.9501917958259584
cropped_magrabi_male_image15prime,pipeline2,0.7672370672225952
cropped_magrabi_female_image11prime,pipeline2,0.9369954466819764
cropped_magrabi_female_image44prime,pipeline2,0.970878839492798
cropped_magrabi_male_image24prime,pipeline2,0.9427313804626464
cropped_magrabi_male_image40prime,pipeline2,0.9512203335762024
cropped_magrabi_male_image37prime,pipeline2,0.9711005687713624
cropped_magrabi_female_image36prime,pipeline2,0.9208083152770996
cropped_magrabi_male_image33prime,pipeline2,0.8974964022636414
cropped_magrabi_female_image5prime,drishti_persite,0.5496097803115845
cropped_magrabi_male_image10prime,drishti_persite,0.7908406257629395
cropped_magrabi_male_image15prime,drishti_persite,0.6915380358695984
cropped_magrabi_female_image11prime,drishti_persite,0.6201805472373962
cropped_magrabi_female_image44prime,drishti_persite,0.8266456723213196
cropped_magrabi_male_image24prime,drishti_persite,0.6185575127601624
cropped_magrabi_male_image40prime,drishti_persite,0.8462194800376892
cropped_magrabi_male_image37prime,drishti_persite,0.775782585144043
cropped_magrabi_female_image36prime,drishti_persite,0.7746561765670776
cropped_magrabi_male_image33prime,drishti_persite,0.7701625227928162
cropped_magrabi_female_image5prime,pipeline3,0.9108346700668336
cropped_magrabi_male_image10prime,pipeline3,0.9452131986618042
cropped_magrabi_male_image15prime,pipeline3,0.7488816380500793
cropped_magrabi_female_image11prime,pipeline3,0.9521108865737916
cropped_magrabi_female_image44prime,pipeline3,0.9687016606330872
cropped_magrabi_male_image24prime,pipeline3,0.9526920318603516
cropped_magrabi_male_image40prime,pipeline3,0.976523458957672
cropped_magrabi_male_image37prime,pipeline3,0.968505322933197
cropped_magrabi_female_image36prime,pipeline3,0.9498579502105712
cropped_magrabi_male_image33prime,pipeline3,0.9277873635292052
cropped_magrabi_female_image5prime,central,0.8708927631378174
cropped_magrabi_male_image10prime,central,0.9115739464759828
cropped_magrabi_male_image15prime,central,0.81144118309021
cropped_magrabi_female_image11prime,central,0.960262417793274
cropped_magrabi_female_image44prime,central,0.968306303024292
cropped_magrabi_male_image24prime,central,0.9403846263885498
cropped_magrabi_male_image40prime,central,0.973131775856018
cropped_magrabi_male_image37prime,central,0.9700559377670288
cropped_magrabi_female_image36prime,central,0.9312519431114196
cropped_magrabi_male_image33prime,central,0.9288140535354614
cropped_magrabi_female_image5prime,g1020_persite,0.8787724375724792
cropped_magrabi_male_image10prime,g1020_persite,0.8956678509712219
cropped_magrabi_male_image15prime,g1020_persite,0.7985489964485168
cropped_magrabi_female_image11prime,g1020_persite,0.8894006609916687
cropped_magrabi_female_image44prime,g1020_persite,0.9129061698913574
cropped_magrabi_male_image24prime,g1020_persite,0.8957180976867676
cropped_magrabi_male_image40prime,g1020_persite,0.9639767408370972
cropped_magrabi_male_image37prime,g1020_persite,0.8499923944473267
cropped_magrabi_female_image36prime,g1020_persite,0.940049171447754
cropped_magrabi_male_image33prime,g1020_persite,0.8718687295913696
cropped_magrabi_female_image5prime,binrushed_fl_finetuned,0.8951106667518616
cropped_magrabi_male_image10prime,binrushed_fl_finetuned,0.852626621723175
cropped_magrabi_male_image15prime,binrushed_fl_finetuned,0.761148989200592
cropped_magrabi_female_image11prime,binrushed_fl_finetuned,0.9315125346183776
cropped_magrabi_female_image44prime,binrushed_fl_finetuned,0.9490941166877748
cropped_magrabi_male_image24prime,binrushed_fl_finetuned,0.953978955745697
cropped_magrabi_male_image40prime,binrushed_fl_finetuned,0.968940496444702
cropped_magrabi_male_image37prime,binrushed_fl_finetuned,0.9468777775764464
cropped_magrabi_female_image36prime,binrushed_fl_finetuned,0.949696123600006
cropped_magrabi_male_image33prime,binrushed_fl_finetuned,0.892514169216156
cropped_magrabi_female_image5prime,magrabi_persite,0.8151543140411377
cropped_magrabi_male_image10prime,magrabi_persite,0.7837916016578674
cropped_magrabi_male_image15prime,magrabi_persite,0.6936677694320679
cropped_magrabi_female_image11prime,magrabi_persite,0.9242128133773804
cropped_magrabi_female_image44prime,magrabi_persite,0.9436468482017516
cropped_magrabi_male_image24prime,magrabi_persite,0.9510803818702698
cropped_magrabi_male_image40prime,magrabi_persite,0.9637832045555116
cropped_magrabi_male_image37prime,magrabi_persite,0.9350385665893556
cropped_magrabi_female_image36prime,magrabi_persite,0.8960283994674683
cropped_magrabi_male_image33prime,magrabi_persite,0.6368138790130615
cropped_magrabi_female_image5prime,chaksu_fl_finetuned,0.8433926105499268
cropped_magrabi_male_image10prime,chaksu_fl_finetuned,0.8977513313293457
cropped_magrabi_male_image15prime,chaksu_fl_finetuned,0.6626080870628357
cropped_magrabi_female_image11prime,chaksu_fl_finetuned,0.9302482604980468
cropped_magrabi_female_image44prime,chaksu_fl_finetuned,0.969475507736206
cropped_magrabi_male_image24prime,chaksu_fl_finetuned,0.8613529801368713
cropped_magrabi_male_image40prime,chaksu_fl_finetuned,0.9509913325309752
cropped_magrabi_male_image37prime,chaksu_fl_finetuned,0.9278762340545654
cropped_magrabi_female_image36prime,chaksu_fl_finetuned,0.8529585003852844
cropped_magrabi_male_image33prime,chaksu_fl_finetuned,0.8676676154136658
cropped_magrabi_female_image5prime,messidor_persite,0.8478094339370728
cropped_magrabi_male_image10prime,messidor_persite,0.9149284362792968
cropped_magrabi_male_image15prime,messidor_persite,0.7804752588272095
cropped_magrabi_female_image11prime,messidor_persite,0.9474799633026124
cropped_magrabi_female_image44prime,messidor_persite,0.9401326775550842
cropped_magrabi_male_image24prime,messidor_persite,0.9425767064094543
cropped_magrabi_male_image40prime,messidor_persite,0.9615072011947632
cropped_magrabi_male_image37prime,messidor_persite,0.9296911358833312
cropped_magrabi_female_image36prime,messidor_persite,0.9443280100822448
cropped_magrabi_male_image33prime,messidor_persite,0.9156877994537354
cropped_magrabi_female_image5prime,drishti_fl_finetuned,0.8244810700416565
cropped_magrabi_male_image10prime,drishti_fl_finetuned,0.9324111938476562
cropped_magrabi_male_image15prime,drishti_fl_finetuned,0.7589994668960571
cropped_magrabi_female_image11prime,drishti_fl_finetuned,0.9258424043655396
cropped_magrabi_female_image44prime,drishti_fl_finetuned,0.9461094737052916
cropped_magrabi_male_image24prime,drishti_fl_finetuned,0.9003332853317261
cropped_magrabi_male_image40prime,drishti_fl_finetuned,0.935932159423828
cropped_magrabi_male_image37prime,drishti_fl_finetuned,0.8514319658279419
cropped_magrabi_female_image36prime,drishti_fl_finetuned,0.8805292844772339
cropped_magrabi_male_image33prime,drishti_fl_finetuned,0.9164389371871948
cropped_magrabi_female_image5prime,origa_persite,0.8357751369476318
cropped_magrabi_male_image10prime,origa_persite,0.938738226890564
cropped_magrabi_male_image15prime,origa_persite,0.6644775867462158
cropped_magrabi_female_image11prime,origa_persite,0.9257434606552124
cropped_magrabi_female_image44prime,origa_persite,0.9701640009880066
cropped_magrabi_male_image24prime,origa_persite,0.9098216891288756
cropped_magrabi_male_image40prime,origa_persite,0.9500646591186525
cropped_magrabi_male_image37prime,origa_persite,0.9478622078895568
cropped_magrabi_female_image36prime,origa_persite,0.8786265254020691
cropped_magrabi_male_image33prime,origa_persite,0.8330507278442383
cropped_magrabi_female_image5prime,g1020_fl_finetuned,0.8734685182571411
cropped_magrabi_male_image10prime,g1020_fl_finetuned,0.8587723970413208
cropped_magrabi_male_image15prime,g1020_fl_finetuned,0.8795854449272156
cropped_magrabi_female_image11prime,g1020_fl_finetuned,0.899946928024292
cropped_magrabi_female_image44prime,g1020_fl_finetuned,0.9171963334083556
cropped_magrabi_male_image24prime,g1020_fl_finetuned,0.8120133876800537
cropped_magrabi_male_image40prime,g1020_fl_finetuned,0.9565661549568176
cropped_magrabi_male_image37prime,g1020_fl_finetuned,0.8796974420547485
cropped_magrabi_female_image36prime,g1020_fl_finetuned,0.8983128666877747
cropped_magrabi_male_image33prime,g1020_fl_finetuned,0.8448498845100403
cropped_magrabi_female_image5prime,refuge_persite,0.8732902407646179
cropped_magrabi_male_image10prime,refuge_persite,0.918603539466858
cropped_magrabi_male_image15prime,refuge_persite,0.7081206440925598
cropped_magrabi_female_image11prime,refuge_persite,0.895977258682251
cropped_magrabi_female_image44prime,refuge_persite,0.9158570766448976
cropped_magrabi_male_image24prime,refuge_persite,0.969956874847412
cropped_magrabi_male_image40prime,refuge_persite,0.959078013896942
cropped_magrabi_male_image37prime,refuge_persite,0.8755993247032166
cropped_magrabi_female_image36prime,refuge_persite,0.8864352107048035
cropped_magrabi_male_image33prime,refuge_persite,0.897330105304718
cropped_magrabi_female_image5prime,magrabi_fl_finetuned,0.8896536827087402
cropped_magrabi_male_image10prime,magrabi_fl_finetuned,0.9429810643196106
cropped_magrabi_male_image15prime,magrabi_fl_finetuned,0.8153005242347717
cropped_magrabi_female_image11prime,magrabi_fl_finetuned,0.9347015023231506
cropped_magrabi_female_image44prime,magrabi_fl_finetuned,0.9571250081062316
cropped_magrabi_male_image24prime,magrabi_fl_finetuned,0.9455457925796508
cropped_magrabi_male_image40prime,magrabi_fl_finetuned,0.9734979271888732
cropped_magrabi_male_image37prime,magrabi_fl_finetuned,0.9541414976119996
cropped_magrabi_female_image36prime,magrabi_fl_finetuned,0.9529272317886353
cropped_magrabi_male_image33prime,magrabi_fl_finetuned,0.9369314908981324
cropped_magrabi_female_image5prime,rimone_persite,0.8733505010604858
cropped_magrabi_male_image10prime,rimone_persite,0.7818704843521118
cropped_magrabi_male_image15prime,rimone_persite,0.5409941077232361
cropped_magrabi_female_image11prime,rimone_persite,0.871441662311554
cropped_magrabi_female_image44prime,rimone_persite,0.8958137035369873
cropped_magrabi_male_image24prime,rimone_persite,0.747428297996521
cropped_magrabi_male_image40prime,rimone_persite,0.9588902592658995
cropped_magrabi_male_image37prime,rimone_persite,0.8906756043434143
cropped_magrabi_female_image36prime,rimone_persite,0.8824502229690552
cropped_magrabi_male_image33prime,rimone_persite,0.7636165618896484
cropped_magrabi_female_image5prime,messidor_fl_finetuned,0.8718950152397156
cropped_magrabi_male_image10prime,messidor_fl_finetuned,0.9346343874931335
cropped_magrabi_male_image15prime,messidor_fl_finetuned,0.7715654373168945
cropped_magrabi_female_image11prime,messidor_fl_finetuned,0.9485071897506714
cropped_magrabi_female_image44prime,messidor_fl_finetuned,0.9696760773658752
cropped_magrabi_male_image24prime,messidor_fl_finetuned,0.94379323720932
cropped_magrabi_male_image40prime,messidor_fl_finetuned,0.9747212529182434
cropped_magrabi_male_image37prime,messidor_fl_finetuned,0.9570005536079408
cropped_magrabi_female_image36prime,messidor_fl_finetuned,0.950316846370697
cropped_magrabi_male_image33prime,messidor_fl_finetuned,0.9010155200958252
cropped_magrabi_female_image5prime,origa_fl_finetuned,0.8745805025100708
cropped_magrabi_male_image10prime,origa_fl_finetuned,0.9110783338546752
cropped_magrabi_male_image15prime,origa_fl_finetuned,0.7319965958595276
cropped_magrabi_female_image11prime,origa_fl_finetuned,0.9303274154663086
cropped_magrabi_female_image44prime,origa_fl_finetuned,0.9645320773124696
cropped_magrabi_male_image24prime,origa_fl_finetuned,0.9556187391281128
cropped_magrabi_male_image40prime,origa_fl_finetuned,0.9674808979034424
cropped_magrabi_male_image37prime,origa_fl_finetuned,0.9509530663490297
cropped_magrabi_female_image36prime,origa_fl_finetuned,0.8822652697563171
cropped_magrabi_male_image33prime,origa_fl_finetuned,0.890476644039154
cropped_magrabi_female_image5prime,refuge_fl_finetuned,0.9288868308067322
cropped_magrabi_male_image10prime,refuge_fl_finetuned,0.9173752665519714
cropped_magrabi_male_image15prime,refuge_fl_finetuned,0.7355533242225647
cropped_magrabi_female_image11prime,refuge_fl_finetuned,0.8973925113677979
cropped_magrabi_female_image44prime,refuge_fl_finetuned,0.9701500535011292
cropped_magrabi_male_image24prime,refuge_fl_finetuned,0.9596071243286132
cropped_magrabi_male_image40prime,refuge_fl_finetuned,0.9642143845558168
cropped_magrabi_male_image37prime,refuge_fl_finetuned,0.9329179525375366
cropped_magrabi_female_image36prime,refuge_fl_finetuned,0.931130051612854
cropped_magrabi_male_image33prime,refuge_fl_finetuned,0.9173673391342164
cropped_magrabi_female_image5prime,rimone_fl_finetuned,0.8683108687400818
cropped_magrabi_male_image10prime,rimone_fl_finetuned,0.7876514792442322
cropped_magrabi_male_image15prime,rimone_fl_finetuned,0.661362886428833
cropped_magrabi_female_image11prime,rimone_fl_finetuned,0.8558954000473022
cropped_magrabi_female_image44prime,rimone_fl_finetuned,0.9269996881484985
cropped_magrabi_male_image24prime,rimone_fl_finetuned,0.7385362982749939
cropped_magrabi_male_image40prime,rimone_fl_finetuned,0.9663025736808777
